TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths,Month,Year,Txn_Category,Gap,Inactive_Flag,CreditAmount,DebitAmount
116,CUST3449,ACC13357,savings,payment,Personal Loan,Firm C,South,Manager 3,2023-04-30,112214.6208,101513.5115,0.561677088,616,214,2023-04,2023,debit,77.0,Inactive,0.0,112214.6208
137,CUST6391,ACC13357,loan,deposit,Credit Card,Firm C,West,Manager 3,2023-05-26,51877.36617,45325.44996,0.865180842,772,171,2023-05,2023,credit,26.0,Active,51877.36617,0.0
185,CUST5255,ACC13357,current,payment,Savings Account,Firm C,West,Manager 4,2024-01-04,33282.91928,65140.32567,0.316928012,525,176,2024-01,2024,debit,223.0,Inactive,0.0,33282.91928
170,CUST2349,ACC13357,credit,transfer,Home Loan,Firm B,South,Manager 4,2024-01-08,42926.87982,128404.9613,0.564091282,686,181,2024-01,2024,credit,4.0,Active,42926.87982,0.0
151,CUST1121,ACC13357,current,payment,Mutual Fund,Firm C,West,Manager 3,2024-02-08,91376.10029,60614.24956,0.6126141,491,56,2024-02,2024,debit,31.0,Active,0.0,91376.10029
8,CUST1569,ACC15228,credit,withdrawal,Savings Account,Firm D,South,Manager 2,2023-01-13,68490.37795,133706.9055,0.757320042,345,215,2023-01,2023,debit,0.0,Active,0.0,68490.37795
140,CUST9962,ACC15228,savings,deposit,Personal Loan,Firm B,South,Manager 3,2023-09-19,39344.54519,84876.10666,0.292437181,805,215,2023-09,2023,credit,249.0,Inactive,39344.54519,0.0
81,CUST1498,ACC15228,credit,transfer,Home Loan,Firm B,South,Manager 4,2023-12-24,47032.55142,38817.09876,0.200475304,822,121,2023-12,2023,credit,96.0,Inactive,47032.55142,0.0
160,CUST6330,ACC15228,savings,withdrawal,Mutual Fund,Firm A,South,Manager 2,2024-02-06,79529.05133,87092.2406,0.329116963,332,203,2024-02,2024,debit,44.0,Active,0.0,79529.05133
78,CUST4595,ACC15228,loan,transfer,Home Loan,Firm C,South,Manager 4,2024-03-19,43528.91147,132455.7192,0.424667286,450,33,2024-03,2024,credit,42.0,Active,43528.91147,0.0
68,CUST8772,ACC15359,loan,withdrawal,Savings Account,Firm D,West,Manager 1,2023-05-21,82926.69313,172192.6604,0.138269581,502,130,2023-05,2023,debit,0.0,Active,0.0,82926.69313
91,CUST2578,ACC15359,current,deposit,Credit Card,Firm E,South,Manager 4,2023-11-08,122856.483,93754.78157,0.492427345,495,44,2023-11,2023,credit,171.0,Inactive,122856.483,0.0
44,CUST9754,ACC15359,loan,payment,Credit Card,Firm C,East,Manager 1,2024-02-06,37486.50475,89483.94718,0.335464164,749,154,2024-02,2024,debit,90.0,Inactive,0.0,37486.50475
51,CUST7388,ACC15671,savings,payment,Personal Loan,Firm C,North,Manager 2,2023-12-25,81085.4927,103488.6667,0.890485187,555,235,2023-12,2023,debit,0.0,Active,0.0,81085.4927
184,CUST2716,ACC15671,current,withdrawal,Credit Card,Firm B,Central,Manager 4,2024-04-06,37376.26097,85810.71122,0.736440008,550,166,2024-04,2024,debit,103.0,Inactive,0.0,37376.26097
68,CUST7002,ACC15925,credit,transfer,Savings Account,Firm C,East,Manager 1,2024-02-21,48066.65184,46110.80496,0.319828186,355,130,2024-02,2024,credit,0.0,Active,48066.65184,0.0
81,CUST5574,ACC15925,credit,payment,Personal Loan,Firm E,South,Manager 3,2024-03-01,101207.8674,51942.98668,0.657578281,693,237,2024-03,2024,debit,9.0,Active,0.0,101207.8674
63,CUST7388,ACC15925,loan,deposit,Credit Card,Firm E,North,Manager 3,2024-05-24,59674.55805,74991.76843,0.399234866,408,78,2024-05,2024,credit,84.0,Inactive,59674.55805,0.0
184,CUST8772,ACC16241,loan,withdrawal,Mutual Fund,Firm B,Central,Manager 2,2023-02-17,88560.46331,-19222.713,0.355380735,653,147,2023-02,2023,debit,0.0,Active,0.0,88560.46331
141,CUST3810,ACC16241,credit,transfer,Personal Loan,Firm C,North,Manager 4,2023-02-23,50001.83213,115855.5148,0.262811178,530,173,2023-02,2023,credit,6.0,Active,50001.83213,0.0
7,CUST6082,ACC16241,savings,deposit,Savings Account,Firm E,South,Manager 3,2023-08-10,46194.08816,128017.9881,0.382029476,305,196,2023-08,2023,credit,168.0,Inactive,46194.08816,0.0
40,CUST9962,ACC16241,loan,withdrawal,Credit Card,Firm B,East,Manager 1,2023-09-13,107454.8702,80487.11821,0.274255606,839,176,2023-09,2023,debit,34.0,Active,0.0,107454.8702
13,CUST3306,ACC16241,current,transfer,Credit Card,Firm B,West,Manager 3,2023-09-30,36880.52766,46839.95369,0.280465344,754,134,2023-09,2023,credit,17.0,Active,36880.52766,0.0
180,CUST9525,ACC16241,current,withdrawal,Credit Card,Firm D,Central,Manager 4,2023-10-19,41204.34061,73145.42756,0.63776292,590,95,2023-10,2023,debit,19.0,Active,0.0,41204.34061
123,CUST8250,ACC16241,current,withdrawal,Home Loan,Firm C,South,Manager 2,2023-11-06,42899.98986,41236.95385,0.660725176,558,21,2023-11,2023,debit,18.0,Active,0.0,42899.98986
33,CUST1376,ACC16241,current,withdrawal,Home Loan,Firm E,Central,Manager 2,2023-12-21,27091.34521,51824.29122,0.699879608,595,121,2023-12,2023,debit,45.0,Active,0.0,27091.34521
44,CUST1609,ACC16241,loan,deposit,Credit Card,Firm E,West,Manager 4,2024-01-01,57449.05639,94510.20432,0.78603642,416,62,2024-01,2024,credit,11.0,Active,57449.05639,0.0
16,CUST5664,ACC16241,current,payment,Mutual Fund,Firm A,North,Manager 4,2024-03-12,41875.62932,122522.365,0.596790053,536,30,2024-03,2024,debit,71.0,Inactive,0.0,41875.62932
97,CUST8288,ACC16664,loan,withdrawal,Home Loan,Firm B,South,Manager 4,2023-05-21,65409.59996,28030.69374,0.414050936,710,35,2023-05,2023,debit,0.0,Active,0.0,65409.59996
108,CUST5545,ACC16664,loan,withdrawal,Personal Loan,Firm E,South,Manager 1,2023-07-19,41788.06782,88752.91479,0.898317256,315,219,2023-07,2023,debit,59.0,Active,0.0,41788.06782
138,CUST7481,ACC16664,loan,payment,Mutual Fund,Firm E,West,Manager 4,2023-08-18,64015.71736,81324.50861,0.784251421,755,239,2023-08,2023,debit,30.0,Active,0.0,64015.71736
182,CUST2443,ACC16664,savings,transfer,Personal Loan,Firm C,North,Manager 2,2023-10-03,30757.0992,123601.0819,0.959293002,437,180,2023-10,2023,credit,46.0,Active,30757.0992,0.0
104,CUST1840,ACC16664,loan,withdrawal,Home Loan,Firm D,East,Manager 3,2023-11-17,43131.9074,112865.4348,0.515911314,576,178,2023-11,2023,debit,45.0,Active,0.0,43131.9074
78,CUST9731,ACC16664,savings,withdrawal,Savings Account,Firm B,West,Manager 2,2024-01-17,9358.171117,67241.0388,0.549628316,723,94,2024-01,2024,debit,61.0,Inactive,0.0,9358.171117
92,CUST5174,ACC16664,credit,transfer,Mutual Fund,Firm B,South,Manager 2,2024-06-22,28562.48672,101656.4123,0.301735778,355,219,2024-06,2024,credit,157.0,Inactive,28562.48672,0.0
49,CUST9666,ACC17688,credit,withdrawal,Personal Loan,Firm B,West,Manager 4,2023-08-06,91763.44223,39267.51672,0.293222626,405,55,2023-08,2023,debit,0.0,Active,0.0,91763.44223
25,CUST7345,ACC17688,loan,withdrawal,Personal Loan,Firm C,West,Manager 2,2023-09-30,57615.49929,87484.18747,0.487831899,345,217,2023-09,2023,debit,55.0,Active,0.0,57615.49929
182,CUST3315,ACC18057,current,transfer,Mutual Fund,Firm D,South,Manager 2,2023-08-22,95085.49191,49099.26091,0.338703926,830,118,2023-08,2023,credit,0.0,Active,95085.49191,0.0
7,CUST6292,ACC18057,credit,transfer,Home Loan,Firm E,East,Manager 3,2023-12-09,43581.86936,93314.19527,0.594478288,544,90,2023-12,2023,credit,109.0,Inactive,43581.86936,0.0
154,CUST6292,ACC18057,current,transfer,Savings Account,Firm C,Central,Manager 3,2024-01-20,3115.052735,58960.17059,0.267590053,330,174,2024-01,2024,credit,42.0,Active,3115.052735,0.0
55,CUST6038,ACC18057,savings,deposit,Home Loan,Firm E,East,Manager 1,2024-02-09,59681.50512,93027.52434,0.569021819,486,41,2024-02,2024,credit,20.0,Active,59681.50512,0.0
199,CUST3609,ACC18140,savings,withdrawal,Mutual Fund,Firm E,North,Manager 3,2023-02-17,38542.74767,17809.78439,-0.152043028,412,226,2023-02,2023,debit,0.0,Active,0.0,38542.74767
128,CUST5320,ACC18140,loan,deposit,Credit Card,Firm C,East,Manager 4,2023-08-06,45680.91092,62110.36954,-0.301195177,619,32,2023-08,2023,credit,170.0,Inactive,45680.91092,0.0
165,CUST5174,ACC18177,loan,withdrawal,Credit Card,Firm A,West,Manager 2,2023-01-02,38742.52123,84363.11575,0.649189029,399,176,2023-01,2023,debit,0.0,Active,0.0,38742.52123
80,CUST5500,ACC18177,loan,withdrawal,Savings Account,Firm E,West,Manager 2,2023-01-09,50964.53834,77844.39229,0.155831981,822,85,2023-01,2023,debit,7.0,Active,0.0,50964.53834
45,CUST1776,ACC18177,savings,deposit,Home Loan,Firm A,West,Manager 3,2023-02-21,80393.97286,74876.68205,0.354535983,815,142,2023-02,2023,credit,43.0,Active,80393.97286,0.0
117,CUST6776,ACC18177,credit,withdrawal,Personal Loan,Firm E,East,Manager 3,2024-04-21,48868.57262,49600.45705,0.602522554,328,129,2024-04,2024,debit,425.0,Inactive,0.0,48868.57262
187,CUST3725,ACC18177,credit,deposit,Personal Loan,Firm A,Central,Manager 1,2024-06-22,30610.88038,30841.45023,0.780858235,473,37,2024-06,2024,credit,62.0,Inactive,30610.88038,0.0
43,CUST6776,ACC19156,loan,withdrawal,Mutual Fund,Firm C,North,Manager 2,2023-01-12,37295.30259,120184.6714,0.380473549,708,185,2023-01,2023,debit,0.0,Active,0.0,37295.30259
111,CUST1747,ACC19156,current,payment,Mutual Fund,Firm B,East,Manager 4,2023-02-10,57310.01338,25340.27305,0.553369113,765,8,2023-02,2023,debit,29.0,Active,0.0,57310.01338
74,CUST6565,ACC19156,current,deposit,Credit Card,Firm B,East,Manager 3,2023-09-11,43454.03128,119189.543,0.619395471,664,165,2023-09,2023,credit,213.0,Inactive,43454.03128,0.0
173,CUST4595,ACC19156,credit,transfer,Home Loan,Firm A,East,Manager 4,2024-04-20,76785.65703,78307.99875,0.330996225,481,114,2024-04,2024,credit,222.0,Inactive,76785.65703,0.0
64,CUST1497,ACC19156,credit,transfer,Credit Card,Firm E,North,Manager 1,2024-04-25,46263.67267,68369.10299,0.292616801,356,170,2024-04,2024,credit,5.0,Active,46263.67267,0.0
75,CUST3041,ACC19178,loan,deposit,Mutual Fund,Firm B,North,Manager 4,2023-10-04,64100.78213,-1541.176812,0.523371985,479,79,2023-10,2023,credit,0.0,Active,64100.78213,0.0
79,CUST9666,ACC20297,current,withdrawal,Personal Loan,Firm B,West,Manager 2,2023-03-16,26769.20215,80936.6534,0.371581748,524,236,2023-03,2023,debit,0.0,Active,0.0,26769.20215
68,CUST8279,ACC20297,loan,transfer,Mutual Fund,Firm E,South,Manager 3,2023-03-18,45684.53849,109886.2309,0.129710707,595,51,2023-03,2023,credit,2.0,Active,45684.53849,0.0
149,CUST5320,ACC20297,savings,transfer,Mutual Fund,Firm A,West,Manager 2,2023-07-14,36396.08485,81763.10434,0.213673172,331,34,2023-07,2023,credit,118.0,Inactive,36396.08485,0.0
142,CUST9535,ACC20297,savings,deposit,Mutual Fund,Firm B,South,Manager 4,2023-09-11,30256.99681,82533.04365,0.751591178,457,176,2023-09,2023,credit,59.0,Active,30256.99681,0.0
32,CUST1644,ACC20297,savings,withdrawal,Mutual Fund,Firm A,West,Manager 3,2023-11-21,-3796.574393,83601.26352,0.667459706,666,21,2023-11,2023,debit,71.0,Inactive,0.0,-3796.574393
58,CUST6351,ACC20297,credit,payment,Savings Account,Firm B,Central,Manager 2,2023-12-09,67914.71877,32629.78131,0.725157535,623,16,2023-12,2023,debit,18.0,Active,0.0,67914.71877
173,CUST9129,ACC20297,credit,payment,Home Loan,Firm C,North,Manager 2,2024-02-17,12730.92522,102199.7461,0.55795718,322,218,2024-02,2024,debit,70.0,Inactive,0.0,12730.92522
54,CUST5609,ACC21264,loan,withdrawal,Mutual Fund,Firm A,South,Manager 3,2023-02-05,58077.64916,95086.67085,0.547077185,696,230,2023-02,2023,debit,0.0,Active,0.0,58077.64916
169,CUST4763,ACC21264,loan,deposit,Personal Loan,Firm A,Central,Manager 1,2023-03-06,79561.48165,88463.60543,0.224308659,401,63,2023-03,2023,credit,29.0,Active,79561.48165,0.0
161,CUST6029,ACC21429,loan,payment,Home Loan,Firm A,South,Manager 3,2024-04-25,20442.76188,42712.97985,0.504346557,592,129,2024-04,2024,debit,0.0,Active,0.0,20442.76188
123,CUST7481,ACC21719,loan,withdrawal,Mutual Fund,Firm D,West,Manager 2,2023-01-02,47282.33063,115548.2645,0.156221114,330,48,2023-01,2023,debit,0.0,Active,0.0,47282.33063
46,CUST1840,ACC21719,loan,payment,Home Loan,Firm A,West,Manager 4,2023-01-30,52703.86447,33757.82981,0.560852701,552,65,2023-01,2023,debit,28.0,Active,0.0,52703.86447
123,CUST5610,ACC21719,credit,transfer,Savings Account,Firm D,West,Manager 1,2023-06-01,43509.22709,98969.69014,0.233793623,513,136,2023-06,2023,credit,122.0,Inactive,43509.22709,0.0
171,CUST8028,ACC21719,savings,payment,Savings Account,Firm B,East,Manager 4,2024-01-08,64615.35796,40670.14748,0.154880192,678,144,2024-01,2024,debit,221.0,Inactive,0.0,64615.35796
110,CUST8874,ACC21719,credit,payment,Credit Card,Firm D,North,Manager 2,2024-02-06,78452.83062,104951.8269,0.504972334,467,179,2024-02,2024,debit,29.0,Active,0.0,78452.83062
14,CUST3015,ACC21719,loan,deposit,Savings Account,Firm D,North,Manager 3,2024-05-22,-30721.24789,113801.0737,0.378442248,360,222,2024-05,2024,credit,106.0,Inactive,-30721.24789,0.0
134,CUST3449,ACC21878,savings,deposit,Home Loan,Firm C,South,Manager 2,2023-03-10,112600.8869,117589.8671,0.851359319,519,82,2023-03,2023,credit,0.0,Active,112600.8869,0.0
67,CUST2626,ACC21878,savings,withdrawal,Home Loan,Firm C,Central,Manager 4,2023-07-25,42360.79878,17863.02644,0.289304107,468,234,2023-07,2023,debit,137.0,Inactive,0.0,42360.79878
46,CUST2612,ACC22036,savings,deposit,Personal Loan,Firm C,South,Manager 2,2023-08-22,25759.72169,71793.68068,0.277795337,718,91,2023-08,2023,credit,0.0,Active,25759.72169,0.0
63,CUST1776,ACC22036,credit,withdrawal,Personal Loan,Firm D,North,Manager 1,2024-05-02,43076.25576,82656.70541,0.215119697,633,82,2024-05,2024,debit,254.0,Inactive,0.0,43076.25576
74,CUST5912,ACC22255,savings,deposit,Personal Loan,Firm A,South,Manager 4,2023-01-15,90967.16066,85082.08161,0.130538373,737,156,2023-01,2023,credit,0.0,Active,90967.16066,0.0
108,CUST8772,ACC22255,loan,payment,Mutual Fund,Firm B,West,Manager 2,2023-09-10,19217.85991,78383.54635,0.707341135,703,155,2023-09,2023,debit,238.0,Inactive,0.0,19217.85991
97,CUST9420,ACC22255,savings,payment,Credit Card,Firm B,North,Manager 4,2023-10-19,47259.40995,120285.5511,0.506260219,520,63,2023-10,2023,debit,39.0,Active,0.0,47259.40995
181,CUST6947,ACC22255,credit,transfer,Credit Card,Firm E,South,Manager 3,2023-10-31,37889.87436,86410.16828,0.69729615,504,211,2023-10,2023,credit,12.0,Active,37889.87436,0.0
52,CUST1189,ACC22799,savings,transfer,Credit Card,Firm D,West,Manager 2,2023-08-04,27114.35191,33881.8579,0.367933139,677,19,2023-08,2023,credit,0.0,Active,27114.35191,0.0
127,CUST2357,ACC22799,current,deposit,Mutual Fund,Firm A,North,Manager 1,2023-11-08,20738.2151,62326.35309,0.54502493,750,157,2023-11,2023,credit,96.0,Inactive,20738.2151,0.0
82,CUST5351,ACC23736,credit,payment,Savings Account,Firm B,South,Manager 2,2023-01-17,37512.40681,110907.9726,0.566326523,597,176,2023-01,2023,debit,0.0,Active,0.0,37512.40681
128,CUST2539,ACC23736,loan,deposit,Personal Loan,Firm A,West,Manager 1,2023-04-26,21687.60926,66438.45064,0.688130515,643,48,2023-04,2023,credit,99.0,Inactive,21687.60926,0.0
20,CUST8091,ACC23736,loan,payment,Personal Loan,Firm C,North,Manager 2,2023-10-06,52326.46402,128383.9556,0.522296067,847,228,2023-10,2023,debit,163.0,Inactive,0.0,52326.46402
103,CUST3131,ACC23736,loan,payment,Home Loan,Firm A,South,Manager 1,2024-01-04,56545.33514,25853.5639,0.411348558,709,84,2024-01,2024,debit,90.0,Inactive,0.0,56545.33514
195,CUST3131,ACC23736,credit,transfer,Credit Card,Firm A,West,Manager 3,2024-05-02,55676.31165,-9894.658427,1.077844166,601,158,2024-05,2024,credit,119.0,Inactive,55676.31165,0.0
18,CUST3109,ACC23736,loan,deposit,Home Loan,Firm B,West,Manager 1,2024-05-22,73103.55049,32025.11492,0.352359772,562,81,2024-05,2024,credit,20.0,Active,73103.55049,0.0
38,CUST6549,ACC23736,savings,transfer,Home Loan,Firm A,North,Manager 4,2024-05-22,12945.9655,71896.33248,0.612940477,356,56,2024-05,2024,credit,0.0,Active,12945.9655,0.0
40,CUST6350,ACC23985,credit,transfer,Home Loan,Firm C,East,Manager 1,2023-02-23,19798.24927,118433.667,0.31547769,815,163,2023-02,2023,credit,0.0,Active,19798.24927,0.0
191,CUST4373,ACC23985,credit,payment,Mutual Fund,Firm B,South,Manager 1,2023-03-08,68462.48817,38547.13527,0.133522023,786,85,2023-03,2023,debit,13.0,Active,0.0,68462.48817
44,CUST1114,ACC23985,loan,transfer,Personal Loan,Firm B,West,Manager 1,2023-08-23,63667.70348,59911.59399,-0.091769162,407,193,2023-08,2023,credit,168.0,Inactive,63667.70348,0.0
21,CUST8529,ACC23985,current,payment,Mutual Fund,Firm A,West,Manager 3,2024-03-14,111058.5678,61398.62353,0.717327046,461,132,2024-03,2024,debit,204.0,Inactive,0.0,111058.5678
127,CUST5174,ACC24070,savings,transfer,Home Loan,Firm C,North,Manager 3,2023-02-21,57225.35244,59037.48264,0.167200683,677,28,2023-02,2023,credit,0.0,Active,57225.35244,0.0
50,CUST4763,ACC24070,credit,transfer,Mutual Fund,Firm A,East,Manager 3,2023-08-22,37557.48267,6547.355213,0.481479136,349,101,2023-08,2023,credit,182.0,Inactive,37557.48267,0.0
47,CUST4402,ACC24070,current,transfer,Personal Loan,Firm E,Central,Manager 4,2023-09-28,59301.96943,60612.86299,0.40283391,429,194,2023-09,2023,credit,37.0,Active,59301.96943,0.0
37,CUST6082,ACC24070,savings,withdrawal,Mutual Fund,Firm B,East,Manager 2,2024-02-21,46374.69896,68993.03574,0.546906091,321,12,2024-02,2024,debit,146.0,Inactive,0.0,46374.69896
182,CUST5500,ACC24070,savings,deposit,Mutual Fund,Firm D,South,Manager 2,2024-05-27,57864.13275,83284.10242,0.515640767,819,231,2024-05,2024,credit,96.0,Inactive,57864.13275,0.0
137,CUST3449,ACC24508,loan,deposit,Home Loan,Firm A,West,Manager 4,2024-02-06,36340.30994,32666.55907,0.39582024,529,89,2024-02,2024,credit,0.0,Active,36340.30994,0.0
196,CUST5705,ACC24880,loan,deposit,Mutual Fund,Firm C,North,Manager 2,2023-01-28,-11914.72669,109970.4645,0.780645542,496,162,2023-01,2023,credit,0.0,Active,-11914.72669,0.0
13,CUST1042,ACC24880,savings,payment,Savings Account,Firm D,North,Manager 2,2023-10-21,45130.87353,135466.7834,0.66924962,332,211,2023-10,2023,debit,266.0,Inactive,0.0,45130.87353
159,CUST4402,ACC24880,credit,transfer,Personal Loan,Firm D,South,Manager 3,2023-11-17,43666.80479,33707.88181,0.679459377,501,94,2023-11,2023,credit,27.0,Active,43666.80479,0.0
38,CUST4438,ACC24981,current,deposit,Mutual Fund,Firm A,East,Manager 2,2023-01-30,19578.97146,48111.84826,0.208377747,467,126,2023-01,2023,credit,0.0,Active,19578.97146,0.0
119,CUST4855,ACC24981,credit,payment,Credit Card,Firm E,West,Manager 3,2023-06-18,12788.46443,122628.6173,0.201428959,639,182,2023-06,2023,debit,139.0,Inactive,0.0,12788.46443
89,CUST9843,ACC24981,savings,deposit,Savings Account,Firm B,Central,Manager 3,2023-07-14,48026.07628,78775.97102,0.108768033,537,229,2023-07,2023,credit,26.0,Active,48026.07628,0.0
57,CUST7651,ACC24981,credit,payment,Home Loan,Firm C,South,Manager 1,2023-10-19,66184.3195,77670.97214,0.64669204,560,45,2023-10,2023,debit,97.0,Inactive,0.0,66184.3195
7,CUST1962,ACC25132,savings,withdrawal,Credit Card,Firm B,North,Manager 1,2023-01-02,78807.62699,91413.58415,0.498965884,748,158,2023-01,2023,debit,0.0,Active,0.0,78807.62699
